の,of,no
に,To,ni
する,Make,suru
は,is,ha
を,The,wo
が,But,ga
と,When,to
年,Year,nen
で,so,de
だ,I,da
月,Month,tsuki
も,Also,mo
から,From,kara
日,Day,nichi
成る,Become,naru
こと,thing,koto
有る,Have,aru
よる,According,yoru
や,Ya,ya
など,Such,nado
言う,To tell,iu
日本,Japan,nippon
為,Because,tame
この,this,kono
人,Man,nin
その,That,sono
まで,Until,made
もの,thing,mono
へ,What,he
又,or,mata
これ,this,kore
行う,Do,okonau
よう,Yo,you
出来る,Can do,dekiru
駅,station,eki
国,Country,kuni
より,Than,yori
大学,University,daigaku
現在,the current,genzai
後,rear,nochi
か,Or,ka
線,line,sen
ぬ,Unexpected,nu
放送,broadcast,housou
号,issue,gou
軍,army,gun
無い,No,nai
部,Part,bu
持つ,To have,motsu
所,Place,tokoro
名,Name,mei
回,Times,kai
世界,world,sekai
時,Time,toki
戦,War,sen
時代,Era,jidai
東京,Tokyo,toukyou
おく,deep,oku
でも,But,demo
呼ぶ,Call,yobu
その後,afterwards,sono nochi
会,Meeting,kai
それ,It,sore
機,Machine,ki
会う,meet,au
受ける,receive,ukeru
多い,Many,ooi
選手,player,senshu
場合,Case,baai
対する,Against,taisuru
しかし,However,shikashi
つく,Get,tsuku
昭和,Showa,shouwa
作品,the work,sakuhin
地,Earth,chi
中,During ~,naka
使用,use,shiyou
共に,both,tomoni
学校,school,gakkou
語,word,go
彼,he,kare
行く,go,iku
アメリカ,America,amerika
当時,at that time,touji
番組,program,bangumi
車,car,kuruma
社,Company,sha
川,river,kawa
映画,movies,eiga
位,Place,kurai
見る,to see,miru
テレビ,TV set,terebi
系,system,kei
研究,the study,kenkyuu
町,town,machi
東,east,higashi
存在,Existence,sonzai
活動,Activity,katsudou
発売,Sale,hatsubai
他,other,hoka
出身,Graduate,shusshin
年代,Age,nendai
会社,the company,kaisha
権,Authority,ken
開発,development of,kaihatsu
分,Minute,fun
西,West,nishi
鉄道,Railway,tetsudou
法,Act,hou
局,Bureau,kyoku
更に,Furthermore,sarani
のみ,only,nomi
間,while,kan
山,Mountain,yama
式,formula,shiki
島,island,shima
なお,It should be noted,nao
可能,Possible,kanou
ドイツ,Germany,doitsu
代表,representative,daihyou
使う,use,tsukau
同じ,the same,onaji
曲,Tune,kyoku
地域,area,chiiki
作,Work,saku
事,Thing,koto
版,Edition,han
取る,take,toru
登場,Appearance,toujou
チーム,team,chiimu
世,world,yo
時間,time,jikan
於ける,on,oke ru
中心,center,chuushin
大会,Tournament,taikai
多く,Many,ooku
南,South,minami
シリーズ,series,shiriizu
賞,award,shou
北,North,kita
開始,start,kaishi
フランス,France,furansu
一部,part,ichibu
始める,start,hajime ru
平成,Heisei,heisei
知る,know,shiru
子,Child,ko
ゲーム,game,geemu
道,the way,michi
角,The corner,kaku
用いる,Use,mochii ru
および,and,oyobi
館,Mansion,kan
場,Place,ba
体,body,karada
世紀,century,seiki
音楽,musics,ongaku
参加,Participation,sanka
発表,Announcement,happyou
記録,Record,kiroku
掛ける,Multiply,kake ru
高い,high,takai
利用,Use,riyou
際,When,kiwa
出場,Participation,shutsujou
国際,international,kokusai
リーグ,league,riigu
所属,Belongs,shozoku
務める,serve,tsutome ru
関係,Relation,kankei
考える,Think,kangae ru
イギリス,England,igirisu
生まれる,to be born,umare ru
入る,enter,iru
度,Every time,do
州,state,shuu
全て,all,subete
明治,Meiji,meiji
生,Living,nama
点,point,ten
力,Power,chikara
良い,good,yoi
だけ,Only,dake
王,king,ou
試合,match,shiai
得る,obtain,eru
優勝,Championship,yuushou
都市,city,toshi
含む,Include,fukumu
アルバム,album,arubamu
込む,Writing,komu
問題,problem,mondai
シーズン,Season,shiizun
開催,Held,kaisai
大阪,Osaka,oosaka
位置,position,ichi
監督,directed by,kantoku
上,Up,ue
主,main,shu
設置,Installation,setchi
郡,county,gun
戦争,war,sensou
物,Stuff,mono
艦,The ship,kan
地方,Region,chihou
隊,Corps,tai
期,The period,ki
城,castle,shiro
にて,At,nite
長,The length,chou
計画,plan,keikaku
番,Ban,ban
必要,necessary,hitsuyou
出す,put out,dasu
一般,Common,ippan
変更,Change,henkou
本,Book,hon
中央,Center,chuuou
関する,About,kansu ru
